State,Year,Quarter,District,Count,Amount
Madhya Pradesh,2020,3,jabalpur,3568035,6733555697.65695
Madhya Pradesh,2020,3,ujjain,2921971,5297389626.97533
Madhya Pradesh,2020,3,dhar,2527639,4260243322.8625326
Madhya Pradesh,2020,3,sehore,2512141,4197137117.0135603
Madhya Pradesh,2020,3,dewas,2498225,4394184455.067969
Madhya Pradesh,2020,3,chhindwara,2113701,3726188140.6403146
Madhya Pradesh,2020,3,rewa,2086383,3959365505.5119104
Madhya Pradesh,2020,4,bhopal,38492334,67905952477.88091
Madhya Pradesh,2020,4,indore,25715586,42359214660.836296
Madhya Pradesh,2020,4,gwalior,6115831,12129267094.949297
Madhya Pradesh,2020,4,jabalpur,5245511,9769636688.245636
Madhya Pradesh,2020,4,ujjain,4280284,7849328204.967745
Madhya Pradesh,2020,4,dhar,3833814,6450900581.257767
Madhya Pradesh,2020,4,dewas,3659099,6453013619.067839
Madhya Pradesh,2020,4,sehore,3633263,6071266571.198605
Madhya Pradesh,2020,4,chhindwara,3170211,5890642613.695305
Madhya Pradesh,2020,4,rewa,3045335,6440539078.097477
Madhya Pradesh,2020,1,indore,20249473,30491290764.19948
Madhya Pradesh,2020,1,bhopal,18872294,26955303213.752163
Madhya Pradesh,2020,1,jabalpur,3486010,5963024021.3977585
Madhya Pradesh,2020,1,gwalior,2793829,4742983278.610157
Madhya Pradesh,2020,1,ujjain,1956388,2984071094.5180407
Madhya Pradesh,2020,1,sehore,1747508,2672516076.5999746
Madhya Pradesh,2020,1,chhindwara,1550995,2660677487.5778346
Madhya Pradesh,2020,1,dewas,1550696,2464387871.393967
Madhya Pradesh,2020,1,dhar,1500274,2336164021.151242
Madhya Pradesh,2020,1,rewa,1358528,2622020903.5922184
Madhya Pradesh,2022,2,bhopal,185588829,255910395858.58392
Madhya Pradesh,2022,2,indore,94002709,130634964642.79424
Madhya Pradesh,2022,2,gwalior,18027874,32093579424.108437
Madhya Pradesh,2022,2,jabalpur,16889784,27629576719.43084
Madhya Pradesh,2022,2,ujjain,12860422,22270090166.47255
Madhya Pradesh,2022,2,dhar,11567048,18840900182.77164
Madhya Pradesh,2022,2,dewas,9969749,16816037627.773096
Madhya Pradesh,2022,2,chhindwara,8962440,14596356954.002365
Madhya Pradesh,2022,2,sehore,8725327,14417789308.970549
Madhya Pradesh,2022,2,rewa,8417985,16928268530.619324
Madhya Pradesh,2022,3,chhindwara,169367916,236429180484.71173
Madhya Pradesh,2022,3,bhopal,156507125,194323899841.67703
Madhya Pradesh,2022,3,indore,140075797,181342408308.11453
Madhya Pradesh,2022,3,gwalior,19510123,31696730031.83982
Madhya Pradesh,2022,3,jabalpur,17564654,26204520330.92041
Madhya Pradesh,2022,3,ujjain,14059587,21942517753.50229
Madhya Pradesh,2022,3,dhar,12392412,18195974455.547993
Madhya Pradesh,2022,3,dewas,10823857,16145007712.632084
Madhya Pradesh,2022,3,rewa,8837903,14504856959.73714
Madhya Pradesh,2022,3,sehore,8802203,12815375203.387741
Madhya Pradesh,2022,4,chhindwara,245710341,350638062974.8574
Madhya Pradesh,2022,4,bhopal,190199488,243653886996.01984
Madhya Pradesh,2022,4,indore,158576063,210881632372.97565
Madhya Pradesh,2022,4,gwalior,21340912,35102831658.15674
